Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
41552704,"The Art of Noticing: 131 Ways to Spark Creativity, Find Inspiration, and Discover Joy in the Everyday",Rob  Walker,"Walker, Rob",,"=""0525521240""","=""9780525521242""",5,3.78,Knopf,Hardcover,256,2019,2019,,2025/04/21,,,read,,,,1,0
46021597,Døgnkioskmennesket,Sayaka Murata,"Murata, Sayaka",Mette Holm,"=""8793661363""","=""9788793661363""",4,3.67,Grif,Paperback,150,2019,2016,,2025/04/21,,,read,,,,1,0
58733657,After Steve: How Apple Became a Trillion-Dollar Company and Lost Its Soul,Tripp Mickle,"Mickle, Tripp",,"=""0063009811""","=""9780063009813""",4,4.09,William Morrow,Hardcover,512,2022,2022,,2025/04/21,,,read,,,,1,0
199066185,Da vi var yngre,Oliver Lovrenski,"Lovrenski, Oliver",,"=""8203450113""","=""9788203450112""",3,4.16,Aschehoug,Hardcover,242,2023,2023,,2025/04/21,,,read,,,,1,0
78239226,Platform Strategies,Paul Belleflamme,"Belleflamme, Paul",NICOLAS NEYSEN,"=""1138590703""","=""9781138590700""",5,4.50,Routledge,Hardcover,282,2023,,,2025/04/21,,,read,,,,1,0
207687715,Kig op,Jakob Sorgenfri Kjær,"Kjær, Jakob Sorgenfri",,"=""8740089738""","=""9788740089738""",5,4.17,Politikens Forlag,,224,2024,,,2025/04/21,,,read,,,,1,0
69242,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,"Heath, Chip",Dan Heath,"=""1400064287""","=""9781400064281""",4,3.98,Random House,Hardcover,291,2007,2006,,2025/04/21,,,read,,,,1,0
6095883,Design as Art,Bruno Munari,"Munari, Bruno",,"=""0141035811""","=""9780141035819""",3,3.97,Penguin Classics,Paperback,224,2009,1966,2025/04/18,2025/03/28,,,read,,,,1,0
69736,"Thinking with Type: A Critical Guide for Designers, Writers, Editors, and Students",Ellen Lupton,"Lupton, Ellen",,"=""1568984480""","=""9781568984483""",0,4.12,Princeton Architectural Press,Paperback,176,2004,2004,,2025/03/28,to-read,to-read (#3),to-read,,,,0,0
8295595,Living With Complexity,Donald A. Norman,"Norman, Donald A.",,"=""0262014866""","=""9780262014861""",4,3.86,The MIT Press,Hardcover,298,2010,2010,2025/03/28,2025/03/22,,,read,,,,1,0
209577200,Beyond UX Design: Master Your Craft Beyond Pixels and Prototypes,Jeremy        Miller,"Miller, Jeremy",,"=""""","=""9798990234116""",0,4.56,Beyond UX Design,Kindle Edition,278,2024,,,2025/03/22,to-read,to-read (#2),to-read,,,,0,0
13436116,Lean UX: Applying Lean Principles to Improve User Experience,Jeff Gothelf,"Gothelf, Jeff",Josh Seiden,"=""1449311652""","=""9781449311650""",3,3.99,O'Reilly Media,Hardcover,148,2013,2012,,2025/01/19,,,read,,,,1,0
273310,Designers Are Wankers,Lee  McCormack,"McCormack, Lee","Paul             Smith, Neville Brody, Karim Rashid, Piers Roberts","=""0955096804""","=""9780955096808""",4,3.53,About Face Publishing,Paperback,220,2007,2006,,2025/01/19,,,read,,,,1,0
841,Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,"Norman, Donald A.",,"=""0465051367""","=""9780465051366""",5,3.95,Basic Books,Paperback,272,2005,2003,2025/03/19,2025/01/19,,,read,,,,1,0
10127019,The Lean Startup,Eric Ries,"Ries, Eric",,"=""0307887898""","=""9780307887894""",0,4.11,Best Business,Hardcover,299,2011,2011,,2025/01/19,to-read,to-read (#1),to-read,,,,0,0
